status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
100001,11/4/2023 17:11,0.7142906,227.0961,162.2126,103.8546,-124.608,-0.6402373,13.86332,0.7117451
100001,11/4/2023 17:11,0.7102645,227.0923,161.2956,104.6874,-122.7063,-0.6490406,11.97982,0.9203259
100001,11/4/2023 17:11,0.7158599,227.0914,162.5656,103.6322,-125.2515,-0.6374792,15.71994,1.206054
100001,11/4/2023 17:11,0.7127179,227.104,161.8611,101.9796,-125.6948,-0.6300439,15.71994,1.206054
100001,11/4/2023 17:11,0.7100888,226.9989,161.1894,100.9784,-125.6399,-0.6264582,15.11225,0.9759478
100001,11/4/2023 17:11,0.717947,227.0506,163.0103,105.0215,-124.6709,-0.6442629,15.69227,0.8662226
100001,11/4/2023 17:11,0.7155115,227.0232,162.4377,104.0057,-124.7751,-0.6402805,16.36302,1.055855
100001,11/4/2023 17:11,0.7182943,227.0149,163.0635,104.9954,-124.7625,-0.6438926,14.99388,0.5853528
100001,11/4/2023 17:11,0.7189883,226.9002,163.1386,103.6429,-125.9855,-0.6353061,15.02416,0.8428434
100001,11/4/2023 17:11,0.7134174,227.0049,161.9492,102.5974,-125.3049,-0.6335158,16.06334,0.8254887
100001,11/4/2023 17:11,0.7205473,226.9876,163.5553,104.2041,-126.0629,-0.6371184,16.06334,0.8254887
100001,11/4/2023 17:11,0.7085068,227.0091,160.8375,102.9575,-123.5656,-0.6401337,18.29811,0.6446604
100001,11/4/2023 17:11,0.7128928,227.0598,161.8693,103.7503,-124.2479,-0.6409513,16.05142,1.049579
100001,11/4/2023 17:11,0.7123679,227.1147,161.7892,102.9315,-124.8233,-0.6362076,15.29655,0.8641379
100001,11/4/2023 17:11,0.7177733,227.1222,163.0222,104.9871,-124.7155,-0.644005,14.95724,0.8565473
100001,11/4/2023 17:11,0.7146397,227.0869,162.2853,103.4216,-125.062,-0.6372826,15.59525,1.063818
100001,11/4/2023 17:12,0.722103,227.1553,164.0295,104.1391,-126.7309,-0.6348806,15.64412,0.8628079
100001,11/4/2023 17:12,0.7153372,227.1597,162.4958,103.214,-125.5059,-0.6351799,16.60085,0.8706335
100001,11/4/2023 17:12,0.7198548,227.257,163.5921,103.643,-126.5721,-0.6335455,15.43203,0.5830168
100001,11/4/2023 17:12,0.7175996,227.2931,163.1054,105.0784,-124.7474,-0.6442358,13.04359,0.7678894
100001,11/4/2023 17:12,0.7116675,227.1815,161.6777,103.4291,-124.2662,-0.6397239,13.89306,0.8563238
100001,11/4/2023 17:12,0.7165563,227.1005,162.7303,105.0411,-124.288,-0.6454921,14.16056,0.8412994
100001,11/4/2023 17:12,0.7165563,227.1382,162.7573,104.4892,-124.7877,-0.6419938,14.60138,0.6928727
100001,11/4/2023 17:12,0.7214119,226.9725,163.7407,103.9221,-126.5354,-0.6346747,12.97583,0.8854142
100001,11/4/2023 17:12,0.7203743,227.2452,163.7016,103.0799,-127.1722,-0.6296814,12.84958,0.6355575
100001,11/4/2023 17:12,0.7217577,227.1616,163.9556,103.8365,-126.8835,-0.6333206,14.06784,0.4428453
100001,11/4/2023 17:12,0.7118427,227.1868,161.7212,102.782,-124.8584,-0.6355506,10.02803,0.6739129
100001,11/4/2023 17:12,0.717947,227.1588,163.088,103.5839,-125.9685,-0.6351411,13.14294,0.7316549
100001,11/4/2023 17:12,0.7212391,227.1494,163.829,105.4893,-125.3473,-0.6438988,13.29519,0.6287037
100001,11/4/2023 17:12,0.7142906,227.0952,162.2119,102.1298,-126.0246,-0.6296074,13.66817,0.9192259
100001,11/4/2023 17:12,0.7127179,227.1309,161.8802,103.2911,-124.6442,-0.6380708,12.38605,0.9868226
100001,11/4/2023 17:12,0.7156857,227.1384,162.5597,104.243,-124.7359,-0.64126,13.08613,1.015775
100001,11/4/2023 17:12,0.7229658,226.9866,164.1036,105.6671,-125.5566,-0.6439049,13.35633,0.3212752
100001,11/4/2023 17:12,0.7188148,227.1971,163.3127,104.9516,-125.1247,-0.642642,13.43157,1.104679
100001,11/4/2023 17:12,0.7137668,227.0804,162.0824,103.8343,-124.4555,-0.6406263,13.51044,0.8871366
100001,11/4/2023 17:12,0.7086828,227.109,160.9482,101.0758,-125.2518,-0.6280022,12.79326,1.021802
100001,11/4/2023 17:12,0.7120178,227.114,161.7092,102.8016,-124.8267,-0.6357187,13.88476,1.105988
100001,11/4/2023 17:12,0.7111417,227.1556,161.5398,104.0819,-123.5397,-0.6443112,14.39188,0.9647113
100001,11/4/2023 17:12,0.71044,227.0228,161.286,101.7554,-125.136,-0.6309001,14.39188,0.9647113
100001,11/4/2023 17:12,0.7139414,226.9177,162.0059,103.3437,-124.7637,-0.6379009,13.7442,0.7598313
100001,11/4/2023 17:12,0.7170781,226.9619,162.7494,103.6596,-125.4674,-0.6369276,14.3756,0.7905416
100001,11/4/2023 17:12,0.7191616,227.0526,163.2875,104.5169,-125.4553,-0.6400789,14.3756,0.7905416
100001,11/4/2023 17:12,0.7191616,227.1274,163.3413,103.6229,-126.2644,-0.6343946,14.30552,1.338131
100001,11/4/2023 17:12,0.7107909,227.1579,161.4618,102.5144,-124.7426,-0.6349142,15.61971,0.6002949
100001,11/4/2023 17:12,0.7114922,227.1148,161.5904,102.7969,-124.6766,-0.6361573,15.61971,0.6002949
100001,11/4/2023 17:12,0.7026754,227.1069,159.5824,102.5676,-122.2556,-0.6427253,13.36777,0.7151207
100001,11/4/2023 17:12,0.7149885,227.1381,162.4012,104.2742,-124.5032,-0.6420777,13.25412,0.9342603
100001,11/4/2023 17:12,0.7109663,227.247,161.565,103.3177,-124.2123,-0.6394808,12.68516,0.794382
