status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
110000,11/8/2023 14:39,5.954509,231.3147,1377.365,719.195,-1174.689,-0.5221527,83.70241,1.865589
110000,11/8/2023 14:39,6.140358,231.3215,1420.397,733.6975,-1216.23,-0.5165439,83.85724,2.016048
110000,11/8/2023 14:39,6.075587,231.1219,1404.201,724.9079,-1202.618,-0.5162421,83.29842,2.067297
110000,11/8/2023 14:39,6.127491,231.1348,1416.277,741.8452,-1206.443,-0.5237997,83.05265,2.447249
110000,11/8/2023 14:39,6.137739,231.1754,1418.894,748.9647,-1205.119,-0.527851,83.70219,1.857728
110000,11/8/2023 14:39,5.936956,231.1851,1389.857,717.8315,-1173.437,0.5200908,83.54988,2.061465
110000,11/8/2023 14:39,5.935718,231.0111,1371.217,710.3826,-1172.856,-0.5180674,83.51803,2.332561
110000,11/8/2023 14:39,6.159922,231.2453,1424.453,742.0975,-1215.877,-0.5209702,83.62731,1.983879
110000,11/8/2023 14:39,6.085184,231.1484,1406.58,728.1065,-1203.466,-0.517643,83.54095,1.799466
110000,11/8/2023 14:39,6.121791,231.0511,1414.446,737.1451,-1207.177,-0.5211545,83.25256,2.191568
110000,11/8/2023 14:39,6.06844,231.0739,1402.258,737.4653,-1192.675,-0.5259126,83.11266,2.2863
110000,11/8/2023 14:40,6.198081,231.0166,1431.859,755.2177,-1216.498,-0.5274385,83.76106,1.893865
110000,11/8/2023 14:40,6.11633,231.2541,1414.426,731.4191,-1210.631,-0.5171136,83.33168,2.096184
110000,11/8/2023 14:40,6.187209,231.0219,1429.381,745.8501,-1219.359,-0.5217995,83.39323,2.232088
110000,11/8/2023 14:40,6.071131,231.0209,1402.558,734.4323,-1194.897,-0.5236377,83.63351,1.987767
110000,11/8/2023 14:40,6.111783,231.0804,1412.313,742.5274,-1201.367,-0.5257526,83.19646,2.09888
110000,11/8/2023 14:40,6.174762,231.2641,1428,738.627,-1222.136,-0.5172457,83.94595,1.794315
110000,11/8/2023 14:40,6.257323,230.9765,1445.294,764.8292,-1226.341,-0.5291857,82.9874,2.322809
110000,11/8/2023 14:40,6.088379,230.9813,1406.302,728.1444,-1203.117,-0.5177726,83.53445,1.930559
110000,11/8/2023 14:40,6.240402,231.0936,1442.117,748.0123,-1232.956,-0.5186903,82.88487,2.283535
110000,11/8/2023 14:40,6.138754,230.8205,1416.95,736.5132,-1210.494,-0.5197877,83.72849,2.032205
