,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
37031,110110000,2023-12-05 09:00:53.594,1.446407,232.0775,335.6784,232.1458,-242.4631,-0.691572,70.92992,1.492332
37032,110110000,2023-12-05 09:00:54.171,1.483807,231.9696,344.1981,237.1558,-249.4583,-0.6890097,69.91502,0.877615
37033,110110000,2023-12-05 09:00:54.845,1.447528,232.0132,335.8455,235.1799,-239.7554,-0.7002621,70.09641,1.582005
37034,110110000,2023-12-05 09:00:55.350,1.447528,232.0132,335.8455,235.1799,-239.7554,-0.7002621,70.09641,1.582005
37035,110110000,2023-12-05 09:00:55.948,1.433863,231.9557,332.5927,232.8246,-237.5092,-0.7000291,70.18498,1.511168
37036,110110000,2023-12-05 09:00:56.454,1.433863,231.9557,332.5927,232.8246,-237.5092,-0.7000291,70.18498,1.511168
37037,110110000,2023-12-05 09:00:56.946,1.415634,232.1177,328.5936,229.3583,-235.3051,-0.698,70.2721,1.309801
37038,110110000,2023-12-05 09:00:57.409,1.415634,232.1177,328.5936,229.3583,-235.3051,-0.698,70.2721,1.309801
37039,110110000,2023-12-05 09:00:57.955,1.452897,232.1676,337.3156,235.1537,-241.8357,-0.6971328,70.21329,1.6211
37040,110110000,2023-12-05 09:00:58.405,1.452897,232.1676,337.3156,235.1537,-241.8357,-0.6971328,70.21329,1.6211
37041,110110000,2023-12-05 09:00:59.282,1.448376,232.0194,336.0515,233.7539,-241.4326,-0.6955896,70.00896,1.464129
37042,110110000,2023-12-05 09:00:59.858,1.443635,231.9124,334.7969,234.618,-238.8375,-0.700777,70.30722,1.36493
37043,110110000,2023-12-05 09:01:00.350,1.443635,231.9124,334.7969,234.618,-238.8375,-0.700777,70.30722,1.36493
37044,110110000,2023-12-05 09:01:01.181,1.437074,232.0519,333.4758,232.0619,-239.4857,-0.6958883,71.04868,1.365367
37045,110110000,2023-12-05 09:01:01.554,1.47304,232.0373,341.8002,235.2258,-247.9842,-0.688197,69.43256,1.444841
37046,110110000,2023-12-05 09:01:02.252,1.47304,232.0373,341.8002,235.2258,-247.9842,-0.688197,69.43256,1.444841
37047,110110000,2023-12-05 09:01:03.068,1.428399,231.9895,331.3735,233.6054,-235.0254,-0.7049608,70.87601,1.239075
37048,110110000,2023-12-05 09:01:03.457,1.458516,231.9644,338.3239,233.4913,-244.8364,-0.6901412,70.14091,1.262166
37049,110110000,2023-12-05 09:01:04.154,1.458516,231.9644,338.3239,233.4913,-244.8364,-0.6901412,70.14091,1.262166
